date,campaign,adset,ad,spend,impressions,reach,clicks,cpm,conversations,cpl
2025-05-27,Processtürk Üretim Hatları Satış Kampanyası,Processtürk Üretim Hatları Satış Kampanyası,Satışlar__Processtürk Üretim Hatları Satış Kampanyası__Afrika _ Fransızca,54.47,4242,4173,51,12.840641,15,3.63
2025-05-28,Processtürk Üretim Hatları Satış Kampanyası,Processtürk Üretim Hatları Satış Kampanyası,Satışlar__Processtürk Üretim Hatları Satış Kampanyası__Afrika _ Fransızca,0.00,0,0,0,0,6,0.00
2025-05-29,Processtürk Üretim Hatları Satış Kampanyası,Processtürk Üretim Hatları Satış Kampanyası,Satışlar__Processtürk Üretim Hatları Satış Kampanyası__Afrika _ Fransızca,0.00,0,0,0,0,1,0.00
2025-05-30,Processtürk Üretim Hatları Satış Kampanyası,Processtürk Üretim Hatları Satış Kampanyası,Satışlar__Processtürk Üretim Hatları Satış Kampanyası__Afrika _ Fransızca,0.00,0,0,0,0,0,
2025-06-01,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_Fransızca,Satışlar_Sos Hattı_Satıs_Afrıka_Fransızca,38.84,19487,19314,97,1.993124,18,2.16
2025-06-01,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_İngilizce,Satışlar_Sos Hattı_Satıs_Afrıka_İngilizce,40.67,14996,14773,80,2.712057,33,1.23
2025-06-01,Processtürk Üretim Hatları Satış Kampanyası,Processtürk Üretim Hatları Satış Kampanyası,Satışlar__Processtürk Üretim Hatları Satış Kampanyası__Afrika _ Fransızca,0.00,0,0,0,0,0,
2025-06-02,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_Fransızca,Satışlar_Sos Hattı_Satıs_Afrıka_Fransızca,85.10,1059,986,24,80.358829,9,9.46
2025-06-02,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_İngilizce,Satışlar_Sos Hattı_Satıs_Afrıka_İngilizce,61.70,822,781,21,75.060827,6,10.28
2025-06-02,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Arabistan_İngilizce,Satışlar_Sos Hattı_Satıs_Arabistan_İngilizce,13.64,567,567,3,24.056437,3,4.55
2025-06-03,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_Fransızca,Satışlar_Sos Hattı_Satıs_Afrıka_Fransızca,65.03,4292,4025,71,15.151445,36,1.81
2025-06-03,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_İngilizce,Satışlar_Sos Hattı_Satıs_Afrıka_İngilizce,59.33,1983,1862,61,29.919314,36,1.65
2025-06-03,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Arabistan_İngilizce,Satışlar_Sos Hattı_Satıs_Arabistan_İngilizce,170.69,7477,7139,31,22.828675,3,56.90
2025-06-04,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_Fransızca,Satışlar_Sos Hattı_Satıs_Afrıka_Fransızca,122.48,2683,2567,62,45.650391,39,3.14
2025-06-04,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_İngilizce,Satışlar_Sos Hattı_Satıs_Afrıka_İngilizce,132.61,2445,2219,75,54.237219,40,3.32
2025-06-04,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Arabistan_İngilizce,Satışlar_Sos Hattı_Satıs_Arabistan_İngilizce,96.61,2132,2115,14,45.314259,21,4.60
2025-06-05,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_Fransızca,Satışlar_Sos Hattı_Satıs_Afrıka_Fransızca,0.29,19,19,1,15.263158,0,
2025-06-05,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_İngilizce,Satışlar_Sos Hattı_Satıs_Afrıka_İngilizce,2.53,53,53,1,47.735849,1,2.53
2025-06-05,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Arabistan_İngilizce,Satışlar_Sos Hattı_Satıs_Arabistan_İngilizce,0.10,5,5,0,20,0,
2025-06-06,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_İngilizce,Satışlar_Sos Hattı_Satıs_Afrıka_İngilizce,0.00,0,0,0,0,3,0.00
2025-06-07,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Afrıka_Fransızca,Satışlar_Sos Hattı_Satıs_Afrıka_Fransızca,0.00,0,0,0,0,0,
2025-06-08,Processtürk Üretim Hatları Satış Kampanyası,Sos Hattı_Satıs_Arabistan_İngilizce,Satışlar_Sos Hattı_Satıs_Arabistan_İngilizce,0.00,0,0,0,0,0,
